imdb_id,budget,mpaa_rating,collection_name,collection_id,keywords,production_companies,main_production_company,director,director_id,director_popularity,top_cast,main_actor_name,main_actor_id,main_actor_popularity,cast_popularity_sum,primaryTitle,first_week_revenue,Distributor,runtimeMinutes,genres,Theaters,release_date,year,is_major_holiday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,competition_count,director_bankability,actor_bankability,director_experience,is_covid_period,dist_cat_Medium,dist_cat_Small,distributor_bankability,mpaa_rank,has_top_yield_genre,has_high_yield_genre,has_medium_yield_genre,has_low_yield_genre,budget_tier_numeric,prequel_revenue,has_prequel,prequel_revenue_fixed,franchise_position,years_since_last_installment,Source_Comic_Graphic_Novel,budget_per_theater,avg_ticket_price,consumer_sentiment
tt2382320,250000000,PG-13,James Bond Collection,645.0,"based on novel or book, forgiveness, poison, spy, mi6","EON Productions, Metro-Goldwyn-Mayer",EON Productions,Cary Joji Fukunaga,87257.0,0.6,"Daniel Craig, Léa Seydoux, Rami Malek, Lashana Lynch, Ralph Fiennes",Daniel Craig,8784.0,4.3212,12.5836,No Time to Die,75210554,Metro-Goldwyn-Mayer (MGM),163.0,"Action,Adventure,Thriller",4407.0,2021-10-08,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,91000048,58317141,0,0,0,1,24391698.2,2,1,1,0,0,4,95300181.0,1,95300181.0,3.0,5.921971252566735,0,56727.932834127525,10.17,77.6
tt1233227,11000000,R,Saw Collection,656.0,"sacrifice, sadism, fbi, apprentice, murder","Lionsgate, Twisted Pictures, Mandate Pictures",Lionsgate,Kevin Greutert,2150.0,1.4872,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell, Shawnee Smith",Tobin Bell,2144.0,2.3276,5.4726,Saw VI,17263955,Lionsgate,90.0,"Horror,Mystery,Thriller",3036.0,2009-10-23,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11941474,11941474,0,0,0,0,23185794.57142857,1,0,1,1,1,1,0.0,0,57186770.0,1.0,0.0,0,3623.1884057971015,7.5,66.3
tt1477076,17000000,R,Saw Collection,656.0,"sadism, torture, self help guru, tricycle, prosthetic arm","Lionsgate, Twisted Pictures, Serendipity Productions, Mandate Pictures",Lionsgate,Kevin Greutert,2150.0,1.4872,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes, Sean Patrick Flanery",Tobin Bell,2144.0,2.3276,4.9717,Saw 3D,29373071,Lionsgate,90.0,"Crime,Horror,Mystery",2000.0,2010-10-28,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17263955,17263955,1,0,0,0,22497658.722222224,1,0,0,1,1,1,17263955.0,1,17263955.0,2.0,1.0130047912388775,0,8500.0,7.89,71.8
tt3348730,10000000,R,Saw Collection,656.0,"sadism, gore, sequel, flashback, torture","Twisted Pictures, A Bigger Boat, Serendipity Productions, Lionsgate",Twisted Pictures,Michael Spierig,56501.0,0.5434,"Tobin Bell, Matt Passmore, Callum Keith Rennie, Hannah Emily Anderson, Clé Bennett",Tobin Bell,2144.0,2.3276,4.2866,Jigsaw,22136471,Lionsgate,92.0,"Horror,Mystery,Thriller",2941.0,2017-10-27,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19188401,23318513,1,0,0,0,30351443.08988764,1,0,1,1,1,1,29373071.0,1,29373071.0,3.0,6.997946611909651,0,3400.2040122407343,8.97,96.8
tt10342730,20000000,R,Saw Collection,656.0,"sequel, murder, police corruption, survival horror, body count","Twisted Pictures, Lionsgate, Serendipity Productions, Dahlstar",Twisted Pictures,Darren Lynn Bousman,2675.0,0.8052,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols, Dan Petronijevic",Chris Rock,2632.0,1.9457,13.5455,Spiral,11277700,Lionsgate,93.0,"Horror,Mystery,Thriller",2811.0,2021-05-14,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14300186,14668235,0,1,0,0,28813016.36607143,1,0,1,1,1,1,22136471.0,1,22136471.0,4.0,3.5455167693360714,0,7114.905727499111,10.17,77.6
tt21807222,13000000,R,Saw Collection,656.0,"mexico, mexico city, mexico, sadism, riddle, gore","Twisted Pictures, Lionsgate",Twisted Pictures,Kevin Greutert,2150.0,1.4872,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand, Renata Vaca",Tobin Bell,2144.0,2.3276,7.2154,Saw X,24404793,Lionsgate,118.0,"Horror,Mystery,Thriller",3262.0,2023-09-29,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,23318513,22924499,2,0,0,0,27178895.015625,1,0,1,1,1,1,11277700.0,1,11277700.0,5.0,2.3764544832306638,0,3985.2851011649295,10.94,65.3
tt1270798,160000000,PG-13,X-Men Collection,748.0,"central intelligence agency (cia), nuclear war, superhero, mutant, mine","The Donners' Company, Bad Hat Harry Productions, 20th Century Fox, Marvel Entertainment",The Donners' Company,Matthew Vaughn,957.0,0.8861,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Rose Byrne, Kevin Bacon",James McAvoy,5530.0,3.4839,13.1771,X-Men: First Class,73894349,20th Century Studios,131.0,"Action,Sci-Fi",3641.0,2011-06-03,2011,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25365824,31020532,1,0,0,0,36799339.56666667,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,1,43943.971436418564,7.93,67.3
tt1877832,250000000,PG-13,X-Men Collection,748.0,"1970s, superhero, mutant, time travel, based on comic","Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",Bad Hat Harry Productions,Bryan Singer,9032.0,0.8544,"Hugh Jackman, James McAvoy, Michael Fassbender, Patrick Stewart, Ian McKellen",Hugh Jackman,6968.0,4.6594,11.636,X-Men: Days of Future Past,129469103,20th Century Studios,132.0,"Action,Adventure,Sci-Fi",3996.0,2014-05-23,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33791369,62405794,1,0,0,0,35541574.35294118,2,1,0,0,0,4,73894349.0,1,73894349.0,2.0,2.97056810403833,1,62562.56256256256,8.17,84.1
tt3385516,178000000,PG-13,X-Men Collection,748.0,"hero, superhero, mutant, based on comic, superhuman","The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox, Marvel Entertainment, TSG Entertainment",The Donners' Company,Bryan Singer,9032.0,0.841,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Oscar Isaac",James McAvoy,5530.0,3.4839,13.1771,X-Men: Apocalypse,94173232,20th Century Studios,144.0,"Action,Adventure,Sci-Fi",4150.0,2016-05-27,2016,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,81630236,31528921,2,0,0,0,39307114.27835052,2,1,0,0,0,4,129469103.0,1,129469103.0,3.0,2.0123203285420943,1,42891.56626506024,8.65,91.9
tt6565702,200000000,PG-13,X-Men Collection,748.0,"superhero, mutant, telekinesis, based on comic, superhero team","Genre Films, Hutch Parker Entertainment, 20th Century Fox, TSG Entertainment, Marvel Entertainment",Genre Films,Simon Kinberg,11092.0,0.6845,"Sophie Turner, James McAvoy, Nicholas Hoult, Tye Sheridan, Michael Fassbender",Sophie Turner,1001657.0,3.372,14.0322,X-Men: Dark Phoenix,42762350,20th Century Studios,113.0,"Action,Adventure,Sci-Fi",3721.0,2019-06-07,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,91000048,91000048,0,0,0,0,39216381.900763355,2,1,0,0,0,4,94173232.0,1,94173232.0,4.0,3.028062970568104,1,53748.99220639613,9.16,96.0
